,weight,total_gross_income,pitax,table_row
157795,451.5622001985497,0.0,0.0,1
76089,1620.0945876511232,0.0,0.0,1
123226,280.15287522522266,0.0,0.0,1
123223,280.15287522522266,0.0,0.0,1
157959,545.5608622806968,0.0,0.0,1
123222,280.15287522522266,0.0,0.0,1
157984,576.8937496414125,0.0,0.0,1
76084,1620.0945876511232,0.0,0.0,1
123206,339.1324279042169,0.0,0.0,1
123204,339.1324279042169,0.0,0.0,1
123203,298.5839854374084,0.0,0.0,1
15662,357.56353811640264,0.0,0.0,1
15661,637.7164133416253,0.0,0.0,1
15660,637.7164133416253,0.0,0.0,1
123199,298.5839854374084,0.0,0.0,1
15656,637.7164133416253,0.0,0.0,1
39179,103.21421718823994,0.0,0.0,1
15781,392.58264751955545,0.0,0.0,1
157898,506.8555308351068,0.0,0.0,1
157887,453.4053112197682,0.0,0.0,1
123292,280.15287522522266,0.0,0.0,1
123290,280.15287522522266,0.0,0.0,1
90877,947.359064906345,0.0,0.0,1
123271,263.5648760342555,0.0,0.0,1
123253,344.6617609678726,0.0,0.0,1
123251,344.6617609678726,0.0,0.0,1
56941,1306.7657140439665,0.0,0.0,1
15708,357.56353811640264,0.0,0.0,1
15707,357.56353811640264,0.0,0.0,1
64326,1358.3728226380863,0.0,0.0,1
15705,357.56353811640264,0.0,0.0,1
123248,377.8377593498069,0.0,0.0,1
15702,357.56353811640264,0.0,0.0,1
157870,624.8146361930953,0.0,0.0,1
123246,377.8377593498069,0.0,0.0,1
123242,377.8377593498069,0.0,0.0,1
123377,272.7804311403484,0.0,0.0,1
64294,1221.982607067912,0.0,0.0,1
90779,750.1461856359581,0.0,0.0,1
90728,453.4053112197682,0.0,0.0,1
157352,667.2061896811225,0.0,0.0,1
123479,252.5062099069441,0.0,0.0,1
15860,379.68087037102543,0.0,0.0,1
157362,552.933306365571,0.0,0.0,1
39032,611.9128590445654,0.0,0.0,1
90743,882.8501791636951,0.0,0.0,1
39038,1105.866612731142,0.0,0.0,1
157381,552.933306365571,0.0,0.0,1
157393,895.7519563122252,0.0,0.0,1
64274,989.7506183943722,0.0,0.0,1
123449,326.2306507556869,0.0,0.0,1
123444,326.2306507556869,0.0,0.0,1
76158,1531.6252586326318,0.0,0.0,1
56980,1255.1586054498464,0.0,0.0,1
56992,1400.7643761261131,0.0,0.0,1
157448,643.245746405281,0.0,0.0,1
64271,989.7506183943722,0.0,0.0,1
157341,667.2061896811225,0.0,0.0,1
157305,451.5622001985497,0.0,0.0,1
90721,853.360402824198,0.0,0.0,1
15890,503.16930879266965,0.0,0.0,1
15889,503.16930879266965,0.0,0.0,1
157315,433.131089986364,0.0,0.0,1
123800,311.48576258593835,0.0,0.0,1
15884,503.16930879266965,0.0,0.0,1
15883,503.16930879266965,0.0,0.0,1
39012,611.9128590445654,0.0,0.0,1
39013,611.9128590445654,0.0,0.0,1
76172,1531.6252586326318,0.0,0.0,1
123496,276.4666531827855,0.0,0.0,1
76171,1531.6252586326318,0.0,0.0,1
15875,503.16930879266965,0.0,0.0,1
90726,453.4053112197682,0.0,0.0,1
157345,667.2061896811225,0.0,0.0,1
39000,611.9128590445654,0.0,0.0,1
123443,326.2306507556869,0.0,0.0,1
90751,998.966173500465,0.0,0.0,1
157578,484.738198580484,0.0,0.0,1
90759,796.2239611664223,0.0,0.0,1
123413,274.62354216156695,0.0,0.0,1
123409,274.62354216156695,0.0,0.0,1
157583,484.738198580484,0.0,0.0,1
157584,484.738198580484,0.0,0.0,1
39079,958.4177310336564,0.0,0.0,1
157601,635.8733023204068,0.0,0.0,1
90771,652.4613015113738,0.0,0.0,1
90777,750.1461856359581,0.0,0.0,1
123396,350.19109403152834,0.0,0.0,1
56932,1935.2665722794984,0.0,0.0,1
15789,396.26886956199263,0.0,0.0,1
