id_n,age,weight,tot_inc,gross_wage,wage_inc,total_gross_income,taxable_income,tax_cum_income,authorized_deduction,subsidy_w,pending_pitax,capitalgains_pitax,gambling_pitax,additional_dividend_pitax,pitax,pitax1,pitax2,pitax_diff
94,82,171,56951,0,0,34229,0,0,0,0,0,0,0,0,0,0,0,0
95,50,171,95410,95410,47213,95410,94426,94426,0,0,0,0,0,0,6468,6468,6468,0
96,49,171,134262,134262,106229,134262,131376,131376,0,0,0,0,0,0,10488,10488,10488,0
97,30,171,64328,64328,61377,64328,61441,61441,0,0,0,0,0,0,3531,3531,3531,0
98,25,171,118574,118574,55082,118574,118574,118574,0,0,0,0,0,0,9096,9096,9096,0
99,62,188,70820,0,0,70820,0,0,0,0,0,0,0,0,0,0,0,0
100,42,188,88525,88525,88525,88525,88525,88525,0,0,0,0,0,0,5826,5826,5826,0
101,70,188,112426,0,0,89705,0,0,0,0,0,0,0,0,0,0,0,0
102,60,188,59016,0,0,59016,0,0,0,0,0,0,0,0,0,0,0,0
103,34,188,240000,141639,141639,240000,141639,141639,0,0,0,0,0,0,12020,12020,12020,0
104,80,188,63639,0,0,42492,0,0,0,0,0,0,0,0,0,0,0,0
105,77,188,46328,0,0,23607,0,0,0,0,0,0,0,0,0,0,0,0
106,28,188,89705,89705,89705,89705,89705,89705,0,0,0,0,0,0,5955,5955,5955,0
107,53,188,105639,46623,45148,105639,104164,104164,0,0,0,0,0,0,7528,7528,7528,0
108,27,188,70820,70820,70820,70820,70820,70820,0,4149,0,0,0,0,0,0,0,0
109,84,188,81443,0,0,59016,0,0,0,0,0,0,0,0,0,0,0,0
110,82,188,22426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,50,188,678688,344262,0,678688,678688,678688,0,0,0,0,0,0,137210,137210,137210,0
112,44,188,19672,19672,19672,19672,19672,19672,0,0,0,0,0,0,858,858,858,0
113,65,171,220109,220109,211304,220109,217222,217222,0,0,0,0,0,0,26383,26383,26383,0
114,77,171,68087,0,0,44609,0,0,0,0,0,0,0,0,0,0,0,0
115,58,171,817239,38152,0,817239,38152,38152,0,0,0,0,0,0,2041,2041,2041,0
116,32,171,80902,80902,56348,80902,79826,79826,0,0,0,0,0,0,4880,4880,4880,0
117,77,171,58989,0,0,36391,0,0,0,0,0,0,0,0,0,0,0,0
118,74,171,35217,0,0,35217,0,0,0,0,0,0,0,0,0,0,0,0
119,54,171,105261,0,0,105261,0,0,0,0,0,0,0,0,0,0,0,0
120,52,171,18000,18000,18000,18000,18000,18000,0,0,0,0,0,0,751,751,751,0
121,20,171,15652,15652,0,15652,15652,15652,0,0,0,0,0,0,601,601,601,0
122,32,145,169239,169239,18587,169239,169239,169239,0,0,0,0,0,0,16705,16705,16705,0
123,56,145,15261,0,0,15261,0,0,0,0,0,0,0,0,0,0,0,0
124,57,145,58696,0,0,58696,0,0,0,0,0,0,0,0,0,0,0,0
125,29,145,107609,107609,93913,107609,96235,96235,0,0,0,0,0,0,6665,6665,6665,0
126,25,145,456848,406957,0,456848,406957,406957,0,0,0,0,0,0,67604,67604,67604,0
127,72,145,35863,0,0,13559,4696,4696,0,0,0,0,0,0,90,90,90,0
128,49,145,192717,147717,126196,192717,143387,143387,0,0,0,0,0,0,12300,12300,12300,0
129,18,145,28761,8804,8804,8804,8804,8804,0,0,0,0,0,0,169,169,169,0
130,78,162,55174,783,0,36000,783,783,0,0,0,0,0,0,15,15,15,0
131,45,162,43043,43043,29348,43043,32844,32844,0,0,0,0,0,0,1701,1701,1701,0
132,26,162,39463,32772,27000,39463,35804,35804,0,0,0,0,0,0,1890,1890,1890,0
133,26,162,36587,30522,0,36587,30522,30522,0,0,250,0,0,0,1803,1803,1803,0
134,76,162,53413,0,0,31696,0,0,0,0,0,0,0,0,0,0,0,0
135,73,162,18783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,70,162,25043,0,0,3913,0,0,0,0,0,0,0,0,0,0,0,0
137,44,162,9391,9391,0,9391,9391,9391,0,0,0,0,0,0,200,200,200,0
138,39,162,82174,82174,82174,82174,82174,82174,0,0,0,0,0,0,5135,5135,5135,0
139,40,162,76304,76304,76304,76304,76304,76304,0,0,0,0,0,0,4497,4497,4497,0
140,34,162,306196,306196,293478,306196,303309,303309,0,0,0,0,0,0,44771,44771,44771,0
141,34,162,35217,35217,35217,35217,35217,35217,0,0,0,0,0,0,1853,1853,1853,0
142,75,152,316076,0,0,293478,0,0,0,0,0,0,0,0,0,0,0,0
143,70,152,240116,64029,0,240116,64029,64029,0,0,0,0,0,0,3697,3697,3697,0
144,40,152,46957,46957,46957,46957,46957,46957,0,0,0,0,0,0,2604,2604,2604,0
145,32,152,276848,276848,258261,276848,272518,272518,0,0,0,0,0,0,38194,38194,38194,0
146,69,152,124728,124728,117391,124728,120398,120398,0,0,0,0,0,0,9294,9294,9294,0
147,70,152,22598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,48,152,79239,79239,76304,79239,76352,76352,0,0,0,0,0,0,4502,4502,4502,0
149,56,180,152609,0,0,152609,0,0,0,0,0,0,0,0,0,0,0,0
150,18,180,66522,66522,66522,66522,66522,66522,0,4149,0,0,0,0,0,0,0,0
151,62,180,68870,0,0,68870,0,0,0,0,0,0,0,0,0,0,0,0
152,32,180,58109,58109,55957,58109,55957,55957,0,0,0,0,0,0,3180,3180,3180,0
153,56,180,54000,54000,54000,54000,54000,54000,0,0,0,0,0,0,3055,3055,3055,0
154,32,180,71217,71217,35609,71217,71217,71217,0,0,0,0,0,0,4157,4157,4157,0
155,16,180,1810,1810,1810,1810,1810,1810,0,0,0,0,0,0,35,35,35,0
156,54,180,119348,107609,101739,119348,104722,104722,0,0,0,0,0,0,7589,7589,7589,0
157,24,180,111130,111130,58696,111130,111130,111130,0,0,0,0,0,0,8286,8286,8286,0
158,26,180,15652,0,0,15652,15652,15652,0,0,0,0,0,0,601,601,601,0
159,23,173,139475,139475,98361,139475,135802,135802,0,0,0,0,0,0,11086,11086,11086,0
160,52,173,103967,103967,102295,103967,102295,102295,0,0,0,0,0,0,7325,7325,7325,0
161,43,173,141639,141639,141639,141639,141639,141639,0,0,0,0,0,0,12020,12020,12020,0
162,21,173,81836,81836,81836,81836,81836,81836,0,0,0,0,0,0,5099,5099,5099,0
163,62,256,281739,0,0,281739,0,0,0,0,0,0,0,0,0,0,0,0
164,50,256,230870,172174,164348,230870,169287,169287,0,0,0,0,0,0,16714,16714,16714,0
165,23,256,101739,101739,93913,101739,98853,98853,0,0,0,0,0,0,6950,6950,6950,0
166,61,256,234783,0,0,234783,0,0,0,0,0,0,0,0,0,0,0,0
