id_n,tot_inc,taxable_income,pitax,pitax1,pitax2,pitax_diff
7742,11739,0,-0,-0,-0,-0
7743,100812,75892,4456,4456,4554,98
7744,78261,78261,4710,4710,4696,-14
7745,46957,46957,2604,2604,2817,213
7746,46957,46957,2604,2604,2817,213
7747,70435,70435,4107,4107,4226,119
7748,14087,14087,500,500,845,345
7749,70435,70435,4107,4107,4226,119
7750,46957,46957,2604,2604,2817,213
7751,197609,178043,18283,18283,13387,-4896
7752,124141,122870,9563,9563,7372,-2191
7753,78261,73931,4331,4331,4436,105
7754,73370,70435,4107,4107,4226,119
7755,124826,121939,9462,9462,7316,-2145
7756,18978,0,-0,-0,-0,-0
7757,76304,76304,4497,4497,4578,82
7758,57913,55957,3180,3180,3357,177
7759,978,0,10,10,10,-0
7760,66130,61043,3506,3506,3663,157
7761,44804,0,-0,-0,-0,-0
7762,25677,0,-0,-0,-0,-0
7763,101739,101739,7264,7264,6104,-1160
7764,47543,47543,2642,2642,2853,211
7765,24848,0,-0,-0,-0,-0
7766,48913,48913,2729,2729,2935,205
7767,26804,0,-0,-0,-0,-0
7768,68087,0,-0,-0,-0,-0
7769,74348,70948,4140,4140,4257,117
7770,46957,46957,2604,2604,2817,213
7771,70435,70435,4107,4107,4226,119
7772,57246,0,-0,-0,-0,-0
7773,213147,62464,3620,3620,3770,150
7774,171148,0,-0,-0,-0,-0
7775,245902,236262,30450,30450,22702,-7748
7776,152479,84393,5377,5377,5064,-313
7777,171344,0,-0,-0,-0,-0
7778,22426,0,-0,-0,-0,-0
7779,64328,0,-0,-0,-0,-0
7780,41311,41311,2243,2243,2479,236
7781,657049,312787,46795,46795,34946,-11849
7782,122164,53115,2998,2998,3187,189
7783,280328,90757,6069,6069,5445,-624
7784,806573,0,-0,-0,-0,-0
7785,122917,0,-0,-0,-0,-0
7786,384862,362337,57379,57379,42874,-14505
7787,16866,0,-0,-0,-0,-0
7788,164337,0,-0,-0,-0,-0
7789,116155,113268,8518,8518,6796,-1722
7790,33017,0,-0,-0,-0,-0
7791,72398,69812,4067,4067,4189,122
7792,81348,78762,4764,4764,4726,-38
7793,17901,17901,745,745,1074,329
7794,177414,173084,17394,17394,12594,-4801
7795,50022,45348,2501,2501,2721,220
7796,21878,15912,617,617,955,337
7797,3978,796,15,15,48,32
7798,46541,0,-0,-0,-0,-0
7799,11138,3978,76,76,239,162
7800,116656,89560,5939,5939,5374,-565
7801,20348,0,-0,-0,-0,-0
7802,215217,3913,75,75,235,160
7803,32870,0,-0,-0,-0,-0
7804,64956,64956,3756,3756,3897,141
7805,106826,45783,2529,2529,2747,218
7806,58696,50478,2830,2830,3029,199
7807,46956,25435,1227,1227,1526,299
7808,193304,193304,21274,21274,15829,-5445
7809,91565,91565,6157,6157,5494,-663
7810,15148,0,-0,-0,-0,-0
7811,42393,41803,2274,2274,2508,234
7812,150492,146162,12744,12744,8770,-3974
7813,102000,91540,6154,6154,5492,-662
7814,57049,48393,2696,2696,2904,207
7815,22426,0,-0,-0,-0,-0
7816,16525,0,-0,-0,-0,-0
7817,71803,68885,4008,4008,4133,126
7818,41075,40131,2167,2167,2408,241
7819,75541,75541,4434,4434,4532,99
7820,212459,0,-0,-0,-0,-0
7821,54295,0,-0,-0,-0,-0
7822,138689,138689,11548,11548,8321,-3227
7823,263213,0,-0,-0,-0,-0
7824,59016,59016,3376,3376,3541,165
7825,76721,76721,4542,4542,4603,61
7826,66492,66492,3854,3854,3990,135
7827,31947,0,-0,-0,-0,-0
7828,22721,0,-0,-0,-0,-0
7829,50164,49180,2746,2746,2951,204
7830,472131,472131,82933,82933,61326,-21607
7831,146557,143671,12345,12345,8620,-3725
7832,28564,0,-0,-0,-0,-0
7833,95803,26164,1273,1273,1570,296
7834,49180,47213,2621,2621,2833,212
7835,70409,0,-0,-0,-0,-0
7836,93083,93083,6322,6322,5585,-737
7837,14320,14320,515,515,859,344
7838,96305,93083,6322,6322,5585,-737
7839,70409,23271,1088,1088,1396,308
7840,152811,111190,8292,8292,6671,-1621
7841,69812,65482,3790,3790,3929,139
7842,68221,22624,1047,1047,1357,311
7843,21481,0,-0,-0,-0,-0
7844,137635,134749,10918,10918,8085,-2833
7845,155138,155138,14180,14180,9722,-4458
7846,79065,65827,3812,3812,3950,138
7847,15912,15912,617,617,955,337
7848,63249,33414,1737,1737,2005,267
7849,51713,51713,2909,2909,3103,194
7850,97558,0,-0,-0,-0,-0
7851,170652,170652,16958,16958,12204,-4754
7852,81196,77307,4606,4606,4638,33
7853,50870,50870,2855,2855,3052,198
7854,40696,40696,2203,2203,2442,238
7855,9391,0,-0,-0,-0,-0
7856,57663,0,-0,-0,-0,-0
7857,22304,0,-0,-0,-0,-0
7858,9391,0,-0,-0,-0,-0
7859,16728,0,-0,-0,-0,-0
7860,71902,70435,4107,4107,4226,119
7861,132652,132261,10585,10585,7936,-2649
7862,84130,84130,5348,5348,5048,-300
7863,57522,0,-0,-0,-0,-0
7864,18352,0,-0,-0,-0,-0
7865,88924,86478,5604,5604,5189,-415
7866,63098,63098,3637,3637,3786,149
7867,88826,68603,3990,3990,4116,127
7868,22304,0,-0,-0,-0,-0
7869,162685,98511,6913,6913,5911,-1002
7870,89472,86478,5604,5604,5189,-415
7871,75130,50870,2855,2855,3052,198
7872,100328,0,-0,-0,-0,-0
7873,320176,317289,47757,47757,35666,-12091
7874,33836,3107307313,-152961,-152961,-394453,-241491
7875,393,393,8,8,24,16
7876,107115,102785,7378,7378,6167,-1211
7877,192787,189900,20547,20547,15284,-5263
7878,14951,0,-0,-0,-0,-0
7879,67975,0,-0,-0,-0,-0
7880,12295,11016,304,304,661,357
7881,64957,62990,3630,3630,3779,149
7882,79239,69187,4027,4027,4151,124
7883,29543,0,-0,-0,-0,-0
7884,70435,70435,4107,4107,4226,119
7885,152609,152609,13775,13775,9317,-4458
7886,125315,120985,9358,9358,7259,-2099
7887,30326,0,-0,-0,-0,-0
7888,104870,100540,7134,7134,6032,-1101
7889,80022,70435,4107,4107,4226,119
7890,131772,127442,10060,10060,7647,-2414
7891,43141,0,-0,-0,-0,-0
7892,26413,0,-0,-0,-0,-0
7893,48130,0,-0,-0,-0,-0
7894,95870,93913,6413,6413,5635,-778
7895,64859,0,-0,-0,-0,-0
